id,title,description,category,price,discountPercentage,rating,stock,tags,brand
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,10.48,2.56,99,"['beauty', 'mascara']",Essence
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,18.19,2.86,34,"['beauty', 'eyeshadow']",Glamour Beauty
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,9.84,4.64,89,"['beauty', 'face powder']",Velvet Touch
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,12.16,4.36,91,"['beauty', 'lipstick']",Chic Cosmetics
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,11.44,4.32,79,"['beauty', 'nail polish']",Nail Couture
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,1.89,4.37,29,"['fragrances', 'perfumes']",Calvin Klein
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,16.51,4.26,58,"['fragrances', 'perfumes']",Chanel
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,14.72,3.8,98,"['fragrances', 'perfumes']",Dior
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,0.62,3.96,4,"['fragrances', 'perfumes']",Dolce & Gabbana
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,14.39,2.74,91,"['fragrances', 'perfumes']",Gucci
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",furniture,1899.99,8.57,4.77,88,"['furniture', 'beds']",Annibale Colombo
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,2499.99,14.4,3.92,60,"['furniture', 'sofas']",Annibale Colombo
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",furniture,299.99,19.09,2.87,64,"['furniture', 'bedside tables']",Furniture Co.
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",furniture,499.99,2.01,4.88,26,"['furniture', 'office chairs']",Knoll
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",furniture,799.99,8.8,3.59,7,"['furniture', 'bathroom']",Bath Trends
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",groceries,1.99,12.62,4.19,8,['fruits'],
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",groceries,12.99,9.61,4.47,86,['meat'],
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,groceries,8.99,9.58,3.13,46,"['pet supplies', 'cat food']",
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",groceries,9.99,13.7,3.19,97,['meat'],
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",groceries,4.99,9.33,4.8,10,['cooking essentials'],
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",groceries,1.49,0.16,4.07,84,['vegetables'],
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,groceries,10.99,10.27,4.55,71,"['pet supplies', 'dog food']",
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",groceries,2.99,11.05,2.53,9,['dairy'],
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",groceries,14.99,4.23,3.78,74,['seafood'],
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",groceries,1.29,0.16,3.25,33,['vegetables'],
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",groceries,0.99,1.0,3.66,3,['vegetables'],
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",groceries,6.99,14.4,3.97,34,['condiments'],
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",groceries,5.49,8.69,3.39,27,['desserts'],
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",groceries,3.99,12.06,3.94,50,['beverages'],
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",groceries,2.49,15.22,4.93,99,['fruits'],
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",groceries,0.79,9.7,3.53,31,['fruits'],
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",groceries,3.49,13.74,2.61,27,['dairy'],
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",groceries,4.99,12.87,4.95,99,['fruits'],
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",groceries,7.99,1.59,4.82,57,"['beverages', 'coffee']",
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",groceries,2.29,5.38,4.81,13,['vegetables'],
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",groceries,19.99,7.59,4.18,80,['health supplements'],
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",groceries,1.99,9.9,4.2,82,['vegetables'],
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",groceries,5.99,9.29,3.18,59,['grains'],
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",groceries,1.99,17.48,4.75,53,['beverages'],
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",groceries,3.99,1.12,3.08,46,['fruits'],
41,Tissue Paper Box,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",groceries,2.49,13.28,2.69,86,['household essentials'],
42,Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",groceries,0.99,14.92,4.96,53,['beverages'],
43,Decoration Swing,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",home-decoration,59.99,10.41,3.16,47,"['home decor', 'swing']",
44,Family Tree Photo Frame,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",home-decoration,29.99,14.87,4.53,77,"['home decor', 'photo frame']",
45,House Showpiece Plant,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,home-decoration,39.99,7.46,4.67,28,"['home decor', 'artificial plants']",
46,Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",home-decoration,14.99,6.84,3.01,59,"['home decor', 'plant accessories']",
47,Table Lamp,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",home-decoration,49.99,7.09,3.55,9,"['home decor', 'lighting']",
48,Bamboo Spatula,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",kitchen-accessories,7.99,2.84,3.27,37,"['kitchen tools', 'utensils']",
49,Black Aluminium Cup,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,kitchen-accessories,5.99,15.65,4.46,75,"['drinkware', 'cups']",
50,Black Whisk,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,kitchen-accessories,9.99,10.24,3.9,73,"['kitchen tools', 'utensils']",
51,Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",kitchen-accessories,39.99,7.26,4.56,9,"['kitchen appliances', 'blenders']",
52,Carbon Steel Wok,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",kitchen-accessories,29.99,6.53,4.05,40,"['cookware', 'woks']",
53,Chopping Board,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",kitchen-accessories,12.99,8.03,3.7,14,"['kitchen tools', 'cutting boards']",
54,Citrus Squeezer Yellow,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,kitchen-accessories,8.99,12.1,4.63,22,"['kitchen tools', 'juicers']",
55,Egg Slicer,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",kitchen-accessories,6.99,14.76,3.09,40,"['kitchen tools', 'slicers']",
